京王電鉄1000系(II),Keio railway Series 1000 commuter train,活躍年:1995- 運行線区:井の頭線
国鉄C62形18号機「下がりつばめ」・スハ44系 特急「つばめ」,"Limited Express TSUBAME (Type C62 Number C62 18 ""descending swallow"")",1950-1956 運行区間:東京-大阪(C62牽引は名古屋-大阪) Tokyo-Osaka (C62 pulled between Nagoya and Osaka)
国鉄C62形35号機・スハ44系特急「はと」,Limited Express HATO (Type C62 Number C62 35),1950-1956 運行区間:東京-大阪(C62牽引は名古屋-大阪) Tokyo-Osaka (C62 pulled between Nagoya and Osaka)
国鉄C62形42号機 集煙装置取付・スハ44系 特急「はと」,Limited Express HATO (Type C62 Number C62 42 Steam collection device equipped),1950-1956 運行区間:東京-大阪(C62牽引は名古屋-大阪) Tokyo-Osaka (C62 pulled between Nagoya and Osaka)
国鉄C62形25号機・10系特急「かもめ」,Limited Express KAMOME (Type C62 Number C62 25),1959-1960 運行区間:京都-博多 Kyoto-Hakata
国鉄C62形25号機・10系特急「かもめ」 D52後部補機付,Limited Express KAMOME (Type C62 Number C62 25) with D52 banking engine,1959-1960 運行区間:京都-博多 D52後部補機は瀬野-八本松間 Kyoto-Hakata (D52 pushed between Seno and Hachihonmatsu)
国鉄C62形23号機・20系寝台特急「ゆうづる」,Sleeping Limited Express YUZURU (Type C62 Number C62 23),1965-1967 運行区間:上野-青森(C62牽引は平-仙台) Ueno-Aomori (C62 pulled between Taira and Sendai)
鉄道省D51形牽引貨物列車,Freight Train (Type D51),1935-1975 運行区間:全国各所 Almost all the JNR line
鉄道省D51形17号機 半流線形,JGR Type D51 No.D51 17 Semi-streamline,"1936-1968 運行区間:一戸・盛岡機関区管内 ※この仕様での運行区間 Around Ichinohe,Morioka"
鉄道省D51形22号機 変形半流線形,JGR Type D51 No.D51 22 Unique semi-streamline,"1936-1968 運行区間:高崎・国府津・山北機関区管内 ※この仕様での運行区間 Around Takasaki,Kozu,Yamakita"
鉄道省D51形882号機「月と鹿」,"JGR Type D51 No.D51 882 ""Moon and Deer""",1944-1972 運行区間:関西本線ほか ※この仕様での運行区間 Around Nara
鉄道省D51形1002号機 戦時簡略型,JGR Type D51 No.D51 1002 Under-war simplified version,"1944-1973 運行区間:主に羽越本線・奥羽本線など Around Niigata,Akita,etc."
鉄道省C57形36号機 門デフ,JGR Type C57 No.C57 36 Smoke deflector (Kokura factory version) equipped,1938-1971 運行区間:宮崎機関区管内 ※この仕様での運行区間 Around Miyazaki
鉄道省C55形20号機 流線形,JGR Type C55 No.C55 20 Streamline,"1935-1966 運行区間:宮原・姫路・福知山機関区管内 ※この仕様での運行区間 Around Miyahara,Himeji,Fukuchiyama"
鉄道省8620形28643号機,JGR Type 8620 No.28643,1919-1968 運行区間:東北地方各線 Around Tohoku region
神戸電鉄1000系電車,Kobe Railway Series 1000,"1965- 運行区間:新開地-有馬温泉・三田・粟生,ウッディタウン中央-三田 Shinkaichi-Arima onsen/Sanda/Ao,Woody town chuo-Sanda"
鉄道省キハ42000形気動車,JGR Type Kiha-42000,1934-1970 運行区間:全国各所 私鉄にも同型車が導入 Almost all the JNR line and some private railways
国鉄キハ07形気動車(0番台),JNR Type Kiha-07,1934-1970 運行区間:全国各所 Almost all the JNR line and some private railways
国鉄キハ07形気動車(200番台),JNR Type Kiha-07,1934-1970 運行区間:名古屋-樽見 Nagoya-Tarumi
国鉄キハ10系気動車,JNR Series Kiha-10,1953-1984 運行区間:全国各所 同型車が私鉄でも活躍 Almost all the JNR line and some private railways
国鉄キハ55系準急型気動車,JNR Series Kiha-55,1956-1987 運行区間:全国各所 同型車が私鉄でも活躍 Almost all the JNR line and some private railways
国鉄キハ56系急行型気動車,JNR Series Kiha-56,1961-2002 運行区間:北海道内各線 Around Hokkaido region
国鉄キハ58系急行型気動車,JNR Series Kiha-58,1961-2020 運行区間: Almost all the JNR line and some private railways
国鉄キハ59系 アルファコンチネンタルエクスプレス,JNR Series Kiha-59 Alpha Continental Express,1985-1994 運行区間:不定(ジョイフルトレイン) 主に札幌-新得 Undefined(Event train) Mainly Sapporo-Shintoku
国鉄キハ183系特急型気動車,JNR Series Kiha-183,1980-2023 運行区間:JR北海道の主要路線 JR Hokkaido's main-line
国鉄キハ183系「おおぞら」,JNR Series Kiha-183 Limited Express Ozora,1980-2001 運行区間:函館-釧路 Hakodate-Kushiro
国鉄DD53形+DE10形 除雪列車,JNR Type DD53 Snow blower with Type DE10,1965-2007 運行区間:新潟地区 Around Niigata
国鉄DE10形,JNR Type DE10,1966- 運行区間:全国各地 Almost all the JNR line and some private railways
国鉄DE10形貨物列車,Freight Train (Type DE10),1967- 運行区間:全国各地 Almost all the JNR line and some private railways
Union Pacific鉄道4000形,Union Pacific Railroad Type 4000,"1941-1959 運行区間:ユニオンパシフィック鉄道線、特にユタ州・ワサッチ山脈(※ソルトレークシティー周辺)近辺 UP line, especially Around Wasatch Range"
馬車鉄道車両,Horse-drawn tram,1882-1950's 運行区間:全国 Many Japanese cities
京都市交通局 狭軌1形(登場時仕様),Kyoto Tram Type Narrow-1,?-1961 運行区間:京都市電1067mm軌間線区 Kyoto Tram narrow line
